"ADG10003u_007" "ADG10003u_008" "ADG10003u_009" "ADG10003u_010" "ADG10003u_015" "ADG10003u_016" "ADG10003u_017" "ADG10003u_021" "ADG10003u_022" "ADG10003u_023" "ADG10003u_051" "ADG10003u_052" "ADG10003u_053" "ADG10003u_066" "ADG10003u_067" "ADG10003u_071" "ADG10003u_072" "ADG10003u_073" "ADG10003u_087" "ADG10003u_088" "ADG10003u_089" "ADG10003u_097" "ADG10003u_098" "ADG10003u_112" "ADG10003u_113" "ADG19007u_011" "ADG19007u_012" "ADG19007u_013" "ADG19007u_014" "ADG19007u_015" "ADG19007u_016" "ADG19007u_017" "ADG19007u_071" "ADG19007u_072" "ADG19007u_073" "ADG19007u_074" "ADG19007u_075" "ADG19007u_076" "ADG19007u_077" "ADG19007u_091" "ADG19007u_092" "ADG19007u_093" "ADG19007u_094" "ADG19007u_095" "ADG19007u_096" "ADG19007u_097" "ADG19007u_161" "ADG19007u_162" "ADG19007u_163" "ADG19007u_164"
"Creatinine" 0.034723256220232 0.00982087163292539 0.0229785230162123 0.00872145177821831 0.0143869955671 0.0161381286068633 0.0202642398191607 0.0206044869385341 0.0240678586508496 0.0252994037409417 0.0284799849389627 0.0218285197274378 0.0256864144000593 0.0281884533522207 0.0310295537152053 0.0197151971025781 0.0183915209120789 0.0147421615119451 0.0178651517543123 0.0159439000415303 0.0169621918551051 0.0162240018938901 0.0137850106032072 0.0255733423922062 0.0262729567387502 0.0349436856308259 0.0362767285661807 0.0339638337559225 0.0364274997194918 0.0359306149045513 0.0365783365162212 0.0328850769318557 0.0167283443831573 0.0195383474736998 0.0161148936127607 0.0161085594481448 0.0175484508693568 0.014610716479246 0.0134401419084858 0.0203643513732465 0.0221239295912549 0.0207298353164618 0.0191281463822226 0.0200005440132171 0.0196848886731105 0.023537610460929 0.0188305646034604 0.0274004327208066 0.0228832335696377 0.0202852333719521
"Citrate" 0.0177974561834163 0.00515582662709392 0.00271890987956831 0.0054791924878886 0.0132452958167957 0.00173011980959594 0.00414675627407299 0.00603031008373928 0.0176945753817349 0.00630401952202686 0.00278903745461491 0.00229805457704089 0.00200362492980166 0.00436401215324884 0.0098467123373464 0.0018400133473016 0 0.00114127392475025 0.01241806745538 0.00676470673821627 0.00614150064184255 0.00101908839462517 0.00120208159635914 0.00135032180910097 0.000955979294829854 0.00113569101487914 0.00206752969852357 0 0.00101723248230489 0.00531594708170649 0 0.00142678427791177 0.00288388155213557 0.0094703492086647 0.00942065648828098 0.0120120649693994 0.0122993872208329 0.0107226638988324 0.0134333895968323 0.00212856842189033 0.0143687830833244 0.00216830161088399 0.00352773223380422 0.0207184518058852 0.0016057952395848 0.0141974456500325 0.00121074749107897 0.00474975936921096 0.00105979154674231 0
"AceticAcid" 0.00569406807441941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"L-Glycine" 0.00516642170885454 0 0.0036407194239525 0 0.00878064097989672 0.0100734077323431 0.00999470844929655 0.00509454916411345 0.00443435441750611 0.00542159522853642 0.00241119050370095 0.00281784208271882 0.00376648834755267 0 0.00256692843657581 0.00191254752586736 0.00183442163496603 0.00156227278974202 0.00715126580909474 0.00825360100426888 0.0068866276714169 0 0 0 0 0.00352314718022013 0.00405283642547467 0.0019095805838138 0.00282791895586186 0.00499928121379716 0.00312909456805661 0.00423903088868065 0.00526276078399099 0.00803025108531458 0.00669611159679136 0.00542659762230808 0.00787802490901342 0.00639852208811407 0.00806506746515538 0.00275226312921694 0.00422185196633467 0.00329406196760773 0.00322483480366264 0.00475470821489772 0.00317244627883919 0.00674104334361588 0.00121692328788114 0.00200905498129524 0.00185476730938913 0.00135971903491665
"L-Proline" 0.00280985214007378 0.00237448852822855 0.0028321162988521 0.00209572268440146 0.00286753131128709 0.00265646088025408 0.00309465460112742 0.00292818532264434 0.00318583062958549 0.00343578493150924 0.00273402710836013 0.00262142658026451 0.00292145611005636 0.00352801467702482 0.00376694821354784 0.00258317727637744 0.00284404715926397 0.00251335747806577 0.00273839263061117 0.00285893286159783 0.00265516980296625 0.00234662115327489 0.00206793373373426 0.00310191113708516 0.00342881918391568 0.00320545444902199 0.00333775695239298 0.00334774198421191 0.00288701507980569 0.00295491079113621 0.00321712147702628 0.0032729323959265 0.00254980192766337 0.00281230599496426 0.0031959801602972 0.00280459043725848 0.00328254056130979 0.00347447380308302 0.0032893809736984 0.00311686426990265 0.00308817190989859 0.00319581520302582 0.00279922299508557 0.00268644835016813 0.00287564096814489 0.00331612928066604 0.00237730444307418 0.00350876440704235 0.00299371000575529 0.0028837538334744
"L-GlutamicAcid" 0.0027280414837987 0 0.00138717793332057 0 0 0.0011537988361939 0 0.00213299637046179 0.00285243074075105 0.0028897142487507 0.0025382032654219 0.00272304612275813 0.00151826349113161 0.00292111558454663 0.00217787540218625 0.00196888947261009 0.00275311089774376 0.00272830792838385 0.00290356876690717 0.00284970741259119 0.00311500239884557 0.00359190594940709 0.00369210171832272 0.00114257227386246 0.00251117200674294 0.00284316011851285 0.00231588914211146 0.00304620730699879 0.003655712905423 0.00250358690899377 0.00272672374798509 0.00299188217425191 0.00361757224002416 0.00267026802770444 0.00281226595330357 0.00268578564579833 0.0027321743578986 0.00237075334346755 0.00321846844652367 0.00250496771030296 0.00258534848062603 0.00213008486710231 0.00106666024639052 0.00174965548894428 0.00190936256659675 0.00176641444246301 0.00260396530672043 0.00174166170663809 0.00245984910292301 0.00300788480493703
"L-Aspartate" 0.0026418390688336 0.00169458116717361 0.00161061385428887 0 0.00122266715445025 0.00241786306289675 0.00214704528878818 0.00264949396299401 0.000988466603024682 0.00191105152763264 0.00214113787007 0.00218288960778142 0.00253954196498248 0.00157313143879348 0.00212700073713103 0.00358844974502527 0.00217393586534533 0.00375561037532148 0.00248954545288493 0.00190869427964662 0.00198690557244038 0.00145462404158968 0.00335312065049889 0.00264773022863029 0.0018347470427058 0.00169089651411876 0.00169646859491391 0.00167849876181004 0 0.00222474442315183 0 0.0023892912949082 0.00230434154848771 0.00313096302270533 0.00227103971812333 0 0.00265998795507377 0.0023622639774701 0.00194941941144697 0.00331864965562396 0.00306396898009797 0.00258402615877789 0.00304069379482368 0.00216453432757808 0.00227582646580159 0.00128537434545909 0.00181011500775904 0.00143656114519632 0.00215533525483796 0.00234277823908773
"L-Lysine" 0.00220287833778205 0 0 0 0.00357418218554358 0.00284050988373013 0.00141114447279887 0 0.00174660499908239 0 0 0 0.00180088740431765 0 0.000977932285281846 0.00156137361669613 0.00174314720332178 0.00302213333196564 0.00106398797178854 0.00153490249771006 0 0 0.00239017966979369 0 0 0 0 0 0 0.00152987178668687 0 0 0 0 0 0 0 0.00113484703292721 0 0.00218466908540635 0 0 0 0.00245027755312884 0 0 0 0.00337145493056672 0 0
"D-Glucose-6-Phosphate" 0.00218660245252069 0.00248671032497524 0.00256276086363222 0.00283503036962163 0.00186384816532095 0.00227996331771373 0.00233271891172745 0.00124726801300265 0.00133788855389404 0.00167909992537463 0.00248986744262432 0.00284286091904814 0.00213427772443723 0.00212565891790175 0.00126748063206911 0.00173225215610666 0.00164272097354456 0.00224256183476321 0.00164846328879043 0.00161427150716911 0.00178567147782488 0.00249231518165693 0.0029505773244187 0.00182561969423992 0.00142343707680504 0 0 0.00172540459547672 0.00182812593229402 0.00104453279024862 0.00148543455454669 0.00213193700545339 0.00100930678894157 0.00123357151309184 0.00127808975821072 0.00144960968531728 0.0013529473598335 0.00127477033108646 0.00193024476797561 0.00109909882783345 0.00189488112408209 0.00127956349493801 0.0012489269740795 0.00105339245021252 0.00178358184716117 0.00204079009881746 0.00192421487620705 0.00174479302100678 0.00188388305151462 0.00150871149041601
"L-Asparagine" 0.00202108700561426 0 0.00111892965966769 0 0 0 0.00169371982997508 0.00198119952738258 0.00217766862553618 0 0.00161307079072016 0 0.0017947198731621 0.00170166346673754 0.0022094464225234 0 0.00137758124777558 0 0.00226183372941718 0.00138497718355272 0 0.00165281618197167 0.00185850269252676 0.00196280091792952 0.00251100501344804 0.00288323936209708 0.00245127115764678 0.00190165743382865 0.00217592822501987 0.00242429891860243 0.00181146473845859 0.00183326202388901 0 0 0 0.00133975875303645 0.00276861450044217 0.00130032038011844 0 0 0.0020068897040919 0.00220128191396548 0.00170921372063269 0 0.00196243764679205 0.00191633567172707 0.00192006891006843 0.00279206522470029 0.00234201005086153 0.00141710520474123
